iter	Logloss
0	0.6339126953
1	0.5959377441
2	0.5697425781
3	0.5489760742
4	0.5352215332
5	0.5201441895
6	0.5117356445
7	0.504669043
8	0.4947039062
9	0.489736084
10	0.483334668
11	0.4726125
12	0.4669234863
13	0.459155127
14	0.4536368164
15	0.4505959961
16	0.4423801758
17	0.4395074219
18	0.4308101074
19	0.4275541504
20	0.4238469727
21	0.420761084
22	0.4138733398
23	0.409085498
24	0.4061309326
25	0.3993289063
26	0.3945844238
27	0.3876666992
28	0.3818036621
29	0.374780957
30	0.3723475098
31	0.3661014404
32	0.3599818359
33	0.3536852295
34	0.3467064941
35	0.342504834
36	0.336597168
37	0.3299905762
38	0.3277937988
39	0.3245923828
40	0.318716748
41	0.3142134277
42	0.3114963867
43	0.3065819092
44	0.3043927246
45	0.3001871338
46	0.2969341797
47	0.2929318848
48	0.2909986572
49	0.2862596191
50	0.2830405029
51	0.2772836914
52	0.2757713867
53	0.2712162354
54	0.2679074951
55	0.2655380371
56	0.2598653809
57	0.2524557861
58	0.2494147217
59	0.2447972168
60	0.2409718262
61	0.2374536133
62	0.2344191406
63	0.2312246094
64	0.2267170654
65	0.2226621338
66	0.2195439209
67	0.2168556396
68	0.2155287354
69	0.2136393799
70	0.2097601807
71	0.2071317871
72	0.2050258057
73	0.2032625488
74	0.2008918213
75	0.1986141602
76	0.1950071777
77	0.191822876
78	0.1882406738
79	0.1834468994
80	0.1803968384
81	0.1776449219
82	0.1742109863
83	0.1733791016
84	0.1717510986
85	0.1710397217
86	0.1696487061
87	0.1668731201
88	0.1647547363
89	0.163865918
90	0.1615825806
91	0.1596580322
92	0.1570275269
93	0.1551264038
94	0.1537320679
95	0.1516904663
96	0.1502879639
97	0.1483894531
98	0.1466556274
99	0.1446670288
100	0.1426369751
101	0.1408908203
102	0.1394259399
103	0.1385644165
104	0.1368420654
105	0.1358384399
106	0.1352161133
107	0.1340675293
108	0.1327860474
109	0.1308031006
110	0.1296687256
111	0.1276313965
112	0.1248033325
113	0.1231796875
114	0.1218484619
115	0.1211713257
116	0.1198340576
117	0.1186674561
118	0.1180240601
119	0.116994873
120	0.1162494629
121	0.114210791
122	0.1129312744
123	0.1111643066
124	0.1099753418
125	0.1086491455
126	0.107685791
127	0.1070808105
128	0.106302417
129	0.1055795166
130	0.1049336914
131	0.1031053589
132	0.1020823547
133	0.1009895264
134	0.09967049561
135	0.09858588867
136	0.0968977356
137	0.09561561279
138	0.09439950562
139	0.09338643799
140	0.09216942139
141	0.091327771
142	0.09001903076
143	0.0887236145
144	0.08724966431
145	0.08585510254
146	0.08501949463
147	0.08401077881
148	0.08292973022
149	0.08185895996
150	0.08107672119
151	0.0802947998
152	0.07890018311
153	0.0782553833
154	0.0777765564
155	0.07739332886
156	0.0767387085
157	0.0756909668
158	0.07518636475
159	0.07472880859
160	0.07413341064
161	0.07325483398
162	0.07285628662
163	0.07284274292
164	0.07255046387
165	0.07185081787
166	0.07136123657
167	0.07099804687
168	0.07040202026
169	0.06980994873
170	0.06945450439
171	0.06935870972
172	0.0686617981
173	0.06821646729
174	0.06749544067
175	0.06726383057
176	0.06683660889
177	0.06627380981
178	0.06576467285
179	0.06518294678
180	0.06476633301
181	0.06407398682
182	0.06368909302
183	0.06291079712
184	0.06232677002
185	0.06167436523
186	0.06137639771
187	0.06075411987
188	0.06032988281
189	0.05957573853
190	0.05878355103
191	0.05817797852
192	0.05758233643
193	0.05681871948
194	0.05655809326
195	0.05624835205
196	0.05592386475
197	0.05563384399
198	0.05515521851
199	0.05489646606
200	0.05439780884
201	0.05387327881
202	0.05349359131
203	0.0532927124
204	0.05305679321
205	0.0527168396
206	0.05248052368
207	0.05212973633
208	0.05211591797
209	0.05154163818
210	0.05124415894
211	0.05100266113
212	0.05063129272
213	0.05004744263
214	0.04971691895
215	0.04943761292
216	0.04916101074
217	0.04899222717
218	0.04859938965
219	0.04832769775
220	0.04768317261
221	0.04706114502
222	0.04674306335
223	0.04643428955
224	0.04608754272
225	0.04571063232
226	0.04525522461
227	0.04492290039
228	0.04473647461
229	0.0443180603
230	0.04395191956
231	0.04372532043
232	0.0433914856
233	0.04305943604
234	0.04262484741
235	0.0421820343
236	0.04194081421
237	0.04154670105
238	0.04116193542
239	0.04061734009
240	0.04028206177
241	0.03991257324
242	0.03968482971
243	0.03948313904
244	0.0391910675
245	0.03886915894
246	0.03858436279
247	0.0382616394
248	0.03809617615
249	0.03795634155
